frame,time_seconds,student_id,track_id,x1,y1,x2,y2,center_x,center_y
1,0.05,1,1,1669,578,1835,885,1752,731
1,0.05,2,2,241,575,395,793,318,684
1,0.05,3,3,0,572,115,725,57,648
1,0.05,4,4,448,378,592,613,520,495
2,0.1,1,1,1669,583,1835,885,1752,734
2,0.1,2,2,240,575,395,786,317,680
2,0.1,3,3,0,571,115,725,57,648
2,0.1,4,4,451,378,593,615,522,496
3,0.15,1,1,1669,593,1836,892,1752,742
3,0.15,2,2,242,575,392,792,317,683
3,0.15,4,4,412,377,591,643,501,510
4,0.2,1,1,1669,583,1836,895,1752,739
4,0.2,2,2,239,576,392,796,315,686
4,0.2,4,4,403,377,590,650,496,513
5,0.25,1,1,1669,581,1836,897,1752,739
5,0.25,2,2,237,576,390,798,313,687
5,0.25,4,4,401,377,590,653,495,515
5,0.25,3,3,0,576,117,717,58,646
6,0.3,1,1,1669,580,1836,896,1752,738
6,0.3,2,2,236,576,390,798,313,687
6,0.3,4,4,401,377,590,653,495,515
6,0.3,3,3,0,577,115,717,57,647
7,0.35,1,1,1669,579,1836,896,1752,737
7,0.35,2,2,236,576,390,797,313,686
7,0.35,4,4,407,377,589,652,498,514
7,0.35,3,3,0,580,115,716,57,648
8,0.4,1,1,1669,579,1836,897,1752,738
8,0.4,2,2,237,577,389,797,313,687
8,0.4,4,4,413,377,590,652,501,514
8,0.4,3,3,0,582,115,715,57,648
9,0.449,1,1,1669,578,1837,896,1753,737
9,0.449,2,2,237,577,389,797,313,687
9,0.449,4,4,416,377,590,653,503,515
10,0.499,1,1,1669,577,1837,896,1753,736
10,0.499,2,2,238,577,389,797,313,687
10,0.499,4,4,426,377,591,653,508,515
11,0.549,1,1,1669,575,1837,895,1753,735
11,0.549,2,2,238,577,390,797,314,687
11,0.549,4,4,439,376,591,651,515,513
12,0.599,1,1,1669,574,1837,896,1753,735
12,0.599,2,2,237,577,390,797,313,687
12,0.599,4,4,450,377,590,651,520,514
13,0.649,1,1,1669,574,1837,895,1753,734
13,0.649,2,2,237,577,390,797,313,687
13,0.649,4,4,440,377,590,651,515,514
14,0.699,1,1,1669,575,1837,896,1753,735
14,0.699,2,2,237,577,390,797,313,687
14,0.699,4,4,426,377,590,654,508,515
15,0.749,1,1,1669,599,1836,897,1752,748
15,0.749,2,2,237,577,390,796,313,686
15,0.749,4,4,423,377,590,655,506,516
15,0.749,3,3,1,582,118,714,59,648
16,0.799,1,1,1669,610,1836,898,1752,754
16,0.799,2,2,237,577,390,797,313,687
16,0.799,4,4,429,377,590,655,509,516
17,0.849,1,1,1669,614,1836,897,1752,755
17,0.849,2,2,238,577,390,797,314,687
17,0.849,4,4,438,377,590,655,514,516
18,0.899,1,1,1669,613,1836,896,1752,754
18,0.899,2,2,238,577,390,797,314,687
18,0.899,4,4,450,377,590,657,520,517
19,0.949,1,1,1669,612,1836,896,1752,754
19,0.949,2,2,238,577,390,797,314,687
19,0.949,4,4,455,377,590,656,522,516
20,0.999,1,1,1669,610,1836,895,1752,752
20,0.999,2,2,240,576,391,797,315,686
20,0.999,4,4,458,377,590,656,524,516
21,1.049,1,1,1669,610,1836,897,1752,753
21,1.049,2,2,242,576,392,798,317,687
21,1.049,4,4,458,377,590,657,524,517
22,1.099,1,1,1669,610,1836,897,1752,753
22,1.099,2,2,243,575,392,798,317,686
22,1.099,4,4,458,377,590,657,524,517
22,1.099,5,6,1734,295,1769,392,1751,343
23,1.149,1,1,1669,609,1836,898,1752,753
23,1.149,2,2,244,575,393,798,318,686
23,1.149,4,4,457,377,590,657,523,517
23,1.149,5,6,1734,295,1769,392,1751,343
24,1.199,1,1,1669,609,1835,898,1752,753
24,1.199,2,2,245,575,393,798,319,686
24,1.199,4,4,458,377,590,656,524,516
24,1.199,5,6,1734,295,1769,392,1751,343
25,1.248,1,1,1669,609,1835,896,1752,752
25,1.248,2,2,244,574,394,798,319,686
25,1.248,4,4,459,378,590,654,524,516
25,1.248,5,6,1734,295,1769,392,1751,343
26,1.298,1,1,1669,610,1835,896,1752,753
26,1.298,2,2,242,573,394,798,318,685
26,1.298,4,4,459,378,590,653,524,515
26,1.298,5,6,1734,295,1769,392,1751,343
27,1.348,1,1,1669,611,1835,896,1752,753
27,1.348,2,2,242,573,395,798,318,685
27,1.348,4,4,458,378,590,653,524,515
27,1.348,5,6,1734,295,1769,392,1751,343
28,1.398,1,1,1669,612,1835,898,1752,755
28,1.398,2,2,242,572,395,799,318,685
28,1.398,4,4,443,377,591,651,517,514
28,1.398,5,6,1734,295,1769,392,1751,343
29,1.448,1,1,1669,610,1835,898,1752,754
29,1.448,2,2,242,572,395,798,318,685
29,1.448,4,4,438,377,591,645,514,511
29,1.448,5,6,1734,295,1769,392,1751,343
30,1.498,1,1,1669,610,1835,899,1752,754
30,1.498,2,2,242,572,395,798,318,685
30,1.498,4,4,440,376,591,643,515,509
30,1.498,5,6,1734,295,1769,392,1751,343
31,1.548,1,1,1669,610,1835,899,1752,754
31,1.548,2,2,242,572,395,799,318,685
31,1.548,4,4,441,376,591,643,516,509
31,1.548,5,6,1734,295,1768,391,1751,343
32,1.598,1,1,1669,609,1836,899,1752,754
32,1.598,2,2,242,572,396,799,319,685
32,1.598,4,4,445,376,591,642,518,509
33,1.648,1,1,1669,609,1836,899,1752,754
33,1.648,2,2,243,573,396,799,319,686
